xpos,ypos,pred,target,type,match_idx
0.91570,0.17519,4,4,0,197
0.91685,0.13665,4,4,0,198
0.40549,0.73591,4,4,0,199
0.13592,0.43449,0,2,0,200
0.27328,0.76019,2,4,0,201
0.42104,0.88584,4,4,0,202
0.38509,0.31396,6,2,0,203
0.79994,0.76036,4,4,0,204
0.47268,0.50784,4,4,0,205
0.84319,0.42167,4,4,0,206
0.85087,0.55658,4,4,0,207
0.47411,0.27039,4,4,0,208
0.82280,0.55864,4,4,0,209
0.68755,0.58881,4,4,0,210
0.21801,0.47263,0,0,0,211
0.82049,0.07743,4,4,0,212
0.29799,0.71255,6,0,0,213
0.35829,0.29842,6,2,0,214
0.20132,0.14586,2,4,0,215
0.12740,0.34831,2,6,0,216
0.84822,0.36792,4,4,0,217
0.79876,0.43496,4,4,0,218
0.60791,0.16949,2,2,0,219
0.94817,0.38497,4,4,0,220
0.29828,0.42831,0,1,0,221
0.95502,0.43984,4,4,0,222
0.82197,0.48430,4,4,0,223
0.60967,0.31183,4,4,0,224
0.75872,0.38569,4,4,0,225
0.81718,0.08821,4,4,0,226
0.19951,0.28531,2,4,0,227
0.55428,0.19347,6,4,0,228
0.91548,0.31867,4,4,0,229
0.37872,0.99067,5,5,0,230
0.99219,0.33002,4,4,0,231
0.89792,0.48099,4,4,0,232
0.83986,0.40483,4,4,0,233
0.88238,0.51161,4,4,0,234
0.96749,0.37022,4,4,0,235
0.82133,0.45678,4,4,0,236
0.80809,0.70947,4,4,0,237
0.79953,0.52644,4,4,0,238
0.93362,0.11308,4,4,0,239
0.56751,0.58369,4,4,0,240
0.73181,0.31990,4,4,0,241
0.80353,0.14659,4,4,0,242
0.91078,0.50181,4,4,0,243
0.90563,0.26653,4,4,0,244
0.82373,0.70961,4,4,0,245
0.37138,0.05044,4,4,0,246
0.33516,0.52573,4,4,0,247
0.66096,0.53858,4,6,0,248
0.27481,0.52863,1,4,0,249
0.87343,0.18305,4,4,0,250
0.73451,0.58696,4,4,0,251
0.48779,0.55226,4,4,0,252
0.65215,0.64738,4,4,0,253
0.82139,0.76033,4,4,0,254
0.28832,0.51192,1,2,0,255
0.17231,0.28741,2,2,0,256
0.75633,0.54199,4,4,0,257
0.64441,0.76610,4,4,0,258
0.41811,0.17232,6,4,0,259
0.75103,0.49543,4,4,0,260
0.40731,0.55557,4,4,0,261
0.81507,0.57079,4,4,0,262
0.80745,0.76743,4,4,0,263
0.98198,0.35598,4,4,0,264
0.25282,0.31454,2,4,0,265
0.75290,0.82479,4,4,0,266
0.83857,0.28823,4,4,0,267
0.64279,0.61025,4,4,0,268
0.83848,0.47559,4,4,0,269
0.49578,0.55405,4,4,0,270
0.70496,0.56490,4,4,0,271
0.13110,0.52244,0,0,0,272
0.90495,0.40698,4,4,0,273
0.52688,0.60328,4,4,0,274
0.99961,0.31182,4,4,0,275
0.48466,0.64633,4,4,0,276
0.58318,0.61000,4,4,0,277
0.19961,0.65612,5,5,0,278
0.28559,0.59230,1,1,0,279
0.84370,0.29161,4,4,0,280
0.13570,0.37354,2,2,0,281
0.88238,0.55540,4,4,0,282
0.74265,0.27531,4,6,0,283
0.56731,0.40471,2,2,0,284
0.63023,0.60720,4,4,0,285
0.91411,0.29730,4,4,0,286
0.94595,0.19782,4,4,0,287
0.94572,0.48199,4,4,0,288
0.45034,0.52503,4,4,0,289
0.69965,0.31825,4,2,0,290
0.84475,0.51172,4,4,0,291
0.70098,0.81915,4,4,0,292
0.81069,0.58951,4,4,0,293
0.87479,0.34536,4,4,0,294
0.93926,0.14236,4,4,0,295
0.07037,0.34597,2,2,0,296
0.69347,0.86827,4,4,0,297
0.76063,0.37921,4,4,0,298
0.90436,0.13028,4,4,0,299
0.90193,0.46848,4,4,0,300
0.48535,0.28373,6,6,0,301
0.87289,0.11780,4,4,0,302
0.41511,1.00000,4,4,0,303
0.43737,0.83217,6,2,0,304
0.70701,0.58872,4,4,0,305
0.10897,0.45655,0,2,0,306
0.45212,0.08328,6,6,0,307
0.22565,0.56332,1,1,0,308
0.81346,0.48205,4,4,0,309
0.30253,0.21134,6,2,0,310
0.63391,0.71279,4,4,0,311
0.14594,0.74179,5,6,0,312
0.84189,0.46678,4,4,0,313
0.86531,0.65744,4,4,0,314
0.57327,0.57194,4,4,0,315
0.65246,0.58779,4,2,0,316
0.94656,0.41848,4,4,0,317
0.79971,0.46136,4,4,0,318
0.45561,0.41525,4,4,0,319
0.76674,0.45501,4,4,0,320
0.21636,0.44586,2,2,0,321
0.97810,0.28885,4,4,0,322
0.79075,0.59426,4,4,0,323
0.73937,0.64332,4,4,0,324
0.75861,0.57806,4,4,0,325
0.60063,0.69231,4,4,0,326
0.26327,0.64210,1,1,0,327
0.86027,0.66921,4,4,0,328
0.36496,0.47844,4,4,0,329
0.87463,0.52360,4,4,0,330
0.37242,0.82064,4,4,0,331
0.51594,0.17177,6,4,0,332
0.87824,0.42951,4,4,0,333
0.88752,0.15130,4,4,0,334
0.70872,0.60034,4,4,0,335
0.17534,0.48223,0,2,0,336
0.92845,0.22873,4,4,0,337
0.92835,0.29133,4,4,0,338
0.88338,0.27933,4,4,0,339
0.50147,0.44824,4,4,0,340
0.47085,0.21336,2,4,0,341
0.96593,0.43744,4,4,0,342
0.41410,0.60062,3,3,0,343
0.93798,0.42074,4,4,0,344
0.19900,0.32250,2,2,0,345
0.24817,0.57101,1,1,0,346
0.75890,0.74500,4,4,0,347
0.82393,0.51635,4,4,0,348
0.74901,0.42440,4,4,0,349
0.32628,0.53154,4,4,0,350
0.54047,0.82851,4,4,0,351
0.76806,0.38170,4,4,0,352
0.40184,0.66460,2,4,0,353
0.83497,0.45087,4,4,0,354
0.83678,0.43705,4,4,0,355
0.80380,0.59115,4,4,0,356
0.93162,0.36106,4,4,0,357
0.91967,0.46799,4,4,0,358
0.44331,0.89237,4,4,0,359
0.89987,0.29695,4,4,0,360
0.63624,0.63628,4,4,0,361
0.81660,0.70905,4,4,0,362
0.81976,0.79799,4,4,0,363
0.71310,0.77096,4,4,0,364
0.91930,0.10628,4,4,0,365
0.45844,0.96196,6,4,0,366
0.94056,0.48856,4,4,0,367
0.93233,0.47820,4,4,0,368
0.85779,0.65888,4,4,0,369
0.37975,0.59232,5,5,0,370
0.51817,0.91929,4,4,0,371
0.93799,0.17983,4,4,0,372
0.15373,0.48188,0,0,0,373
0.84391,0.72003,4,4,0,374
0.46126,0.54003,4,4,0,375
0.42674,0.57658,4,4,0,376
0.83374,0.77857,4,4,0,377
0.66426,0.36868,4,2,0,378
0.73366,0.08129,4,4,0,379
0.87902,0.69976,4,4,0,380
0.24396,0.41144,1,1,0,381
0.81637,0.62477,4,4,0,382
0.28593,0.83343,4,4,0,383
0.95169,0.31612,4,4,0,384
0.56156,0.72738,4,4,0,385
0.05625,0.34358,2,2,0,386
0.85714,0.42098,4,4,0,387
0.22710,0.48534,0,1,0,388
0.82882,0.75349,4,4,0,389
0.74214,0.79675,4,4,0,390
0.48589,0.58541,1,4,0,391
0.60796,0.91487,6,6,0,392
0.63024,0.83242,4,4,0,393
0.70942,0.38311,4,4,0,394
0.45529,0.16583,6,2,0,395
0.31429,0.62181,4,4,0,396
0.85115,0.12908,4,4,0,397
0.45361,0.50228,4,4,0,398
0.71199,0.54861,4,4,0,399
0.86551,0.03995,4,5,0,400
0.64436,0.61807,4,4,0,401
0.79528,0.78965,4,4,0,402
0.56301,0.83659,6,6,0,403
0.95603,0.35682,4,4,0,404
0.74857,0.22473,4,4,0,405
0.79822,0.80371,4,4,0,406
0.14083,0.17049,4,4,0,407
0.63590,0.47467,4,4,0,408
0.69912,0.60283,4,4,0,409
0.24123,0.49017,1,1,0,410
0.43691,0.68533,6,4,0,411
0.36383,0.50591,3,4,0,412
0.45421,0.52948,4,4,0,413
0.02893,0.48588,2,6,0,414
0.91255,0.10278,4,4,0,415
0.82461,0.43029,4,4,0,416
0.24736,0.65959,1,0,0,417
0.86245,0.45632,4,4,0,418
0.36121,0.58356,5,5,0,419
0.61941,0.65305,4,4,0,420
0.19858,0.36344,0,2,0,421
0.58464,0.87980,6,4,0,422
0.84494,0.77285,4,4,0,423
0.75070,0.76516,4,4,0,424
0.48428,0.37618,4,4,0,425
0.89443,0.47090,4,4,0,426
0.21384,0.38835,2,6,0,427
0.23297,0.37894,0,0,0,428
0.91639,0.33225,4,4,0,429
0.55451,0.61416,4,4,0,430
0.88710,0.35056,4,4,0,431
0.76085,0.68565,4,4,0,432
0.91654,0.39926,4,4,0,433
0.60320,0.44968,4,4,0,434
0.40842,0.83040,6,4,0,435
0.17008,0.69261,5,4,0,436
0.52651,0.51974,4,4,0,437
0.37989,0.51586,3,2,0,438
0.81830,0.46717,4,4,0,439
0.99692,0.42162,4,4,0,440
0.79722,0.77247,4,4,0,441
0.98916,0.40447,4,4,0,442
0.23557,0.85585,6,4,0,443
0.40946,0.91689,4,4,0,444
0.95263,0.44567,4,4,0,445
0.48484,0.23622,2,2,0,446
0.66587,0.10700,4,4,0,447
0.87908,0.26466,4,2,0,448
0.79070,0.51411,4,4,0,449
0.93808,0.25687,4,4,0,450
0.78070,0.50609,4,4,0,451
0.47050,0.91721,4,2,0,452
0.23341,0.50971,1,1,0,453
0.85180,0.43967,4,4,0,454
0.35053,0.88417,6,4,0,455
0.13715,0.63287,1,1,0,456
0.81243,0.60641,4,4,0,457
0.88719,0.25035,4,4,0,458
0.19586,0.61916,3,3,0,459
0.25816,0.43880,0,0,0,460
0.07317,0.44843,2,6,0,461
0.10294,0.37836,2,2,0,462
0.64855,0.46092,4,4,0,463
0.99272,0.29575,4,4,0,464
0.91941,0.44868,4,4,0,465
0.95598,0.14827,4,4,0,466
0.99833,0.29654,4,4,0,467
0.10691,0.37193,2,2,0,468
0.48764,0.75160,6,4,0,469
0.30533,0.25947,2,2,0,470
0.77585,0.59243,4,4,0,471
0.81082,0.72532,4,4,0,472
0.85117,0.35060,4,4,0,473
0.57664,0.25516,4,4,0,474
0.69751,0.55960,4,4,0,475
0.56151,0.14124,2,2,0,476
0.42694,0.79687,6,2,0,477
0.38043,0.83363,4,4,0,478
0.77465,0.15654,4,4,0,479
0.75610,0.81265,4,4,0,480
0.37352,0.69022,6,6,0,481
0.20672,0.55347,1,1,0,482
0.91231,0.47782,4,4,0,483
0.30912,0.77528,6,4,0,484
0.41741,0.28820,4,4,0,485
0.30270,0.36224,2,4,0,486
0.38395,0.74475,4,4,0,487
0.79316,0.71235,4,4,0,488
0.54065,0.54162,4,4,0,489
0.73515,0.45094,4,4,0,490
0.85267,0.70015,4,4,0,491
0.39066,0.88574,6,4,0,492
0.31644,0.40612,0,0,0,493
0.42332,0.49184,4,4,0,494
0.29536,0.85575,4,4,0,495
0.87797,0.63799,4,4,0,496
0.83396,0.51130,4,4,0,497
0.80067,0.55548,4,4,0,498
0.32855,0.51913,4,4,0,499
0.54392,0.40862,2,4,0,500
0.16711,0.31371,2,0,0,501
0.27015,0.41335,3,1,0,502
0.31906,0.88166,4,4,0,503
0.73291,0.77106,4,4,0,504
0.32195,0.44870,0,2,0,505
0.81226,0.78715,4,4,0,506
0.43876,0.13764,6,6,0,507
0.05313,0.42909,2,6,0,508
0.00000,0.46152,6,6,0,509
0.40133,0.77921,4,6,0,510
0.34638,0.48211,4,4,0,511
0.11349,0.49362,0,1,0,512
0.61409,0.60919,4,4,0,513
0.72444,0.41721,4,4,0,514
0.67256,0.69041,4,4,0,515
0.95538,0.22077,4,4,0,516
0.92997,0.27097,4,4,0,517
0.36004,0.65109,6,4,0,518
0.64440,0.14747,4,4,0,519
0.85364,0.20629,4,4,0,520
0.22987,0.20017,0,6,0,521
0.63456,0.23165,4,4,0,522
0.84434,0.20913,4,4,0,523
0.17658,0.45378,0,0,0,524
0.19726,0.46809,0,0,0,525
0.32730,0.29150,6,2,0,526
0.97140,0.20153,4,4,0,527
0.89439,0.26714,4,4,0,528
0.80823,0.73773,4,4,0,529
0.54329,0.23960,4,4,0,530
0.78193,0.45102,4,4,0,531
0.91624,0.40820,4,4,0,532
0.75987,0.57269,4,4,0,533
0.87085,0.43453,4,4,0,534
0.81416,0.54034,4,4,0,535
0.51448,0.42785,4,4,0,536
0.02815,0.45332,6,2,0,537
0.86664,0.19857,4,4,0,538
0.48162,0.08654,6,6,0,539
0.44521,0.42746,4,4,0,540
0.90201,0.15597,4,4,0,541
0.87864,0.69118,4,4,0,542
0.50990,0.24545,4,4,0,543
0.85584,0.45435,4,4,0,544
0.78955,0.38680,4,4,0,545
0.72967,0.55777,4,4,0,546
0.62843,0.28071,6,4,0,547
0.48535,0.41987,4,4,0,548
0.28309,0.29298,2,4,0,549
0.24335,0.54911,1,1,0,550
0.48938,0.19988,4,2,0,551
0.39773,0.21946,6,2,0,552
0.34662,0.70599,2,2,0,553
0.38330,0.55026,4,4,0,554
0.63669,0.38162,4,4,0,555
0.54126,0.30225,4,4,0,556
0.73156,0.79365,4,4,0,557
0.96962,0.22785,4,4,0,558
0.93430,0.13809,4,4,0,559
0.78497,0.76393,4,4,0,560
0.74616,0.56248,4,4,0,561
0.88003,0.68174,4,4,0,562
0.45229,0.34604,6,4,0,563
0.51305,0.69482,4,4,0,564
0.91631,0.21453,4,4,0,565
0.56872,0.64766,4,4,0,566
0.18393,0.66841,5,4,0,567
0.78143,0.78564,4,4,0,568
0.97794,0.36219,4,4,0,569
0.36194,0.33875,2,4,0,570
0.65492,0.60956,4,4,0,571
0.94408,0.31634,4,4,0,572
0.86953,0.67271,4,4,0,573
0.82734,0.79289,4,4,0,574
1.00000,0.43149,4,4,0,575
0.60574,0.02408,4,4,0,576
0.79095,0.74470,4,4,0,577
0.91732,0.41704,4,4,0,578
0.74579,0.54575,4,4,0,579
0.30665,0.47109,0,4,0,580
0.34899,0.51718,3,4,0,581
0.83973,0.73002,4,4,0,582
0.45037,0.86088,6,6,0,583
0.33093,0.33617,6,2,0,584
0.41596,0.47196,3,4,0,585
0.28128,0.52074,1,1,0,586
0.38290,0.71261,6,4,0,587
0.12910,0.39050,2,2,0,588
0.86296,0.76803,4,4,0,589
0.98263,0.24895,4,4,0,590
0.50834,0.80158,4,4,0,591
0.72048,0.53319,4,4,0,592
0.53164,0.19388,6,4,0,593
0.76415,0.12139,4,4,0,594
0.80003,0.58068,4,4,0,595
0.79779,0.28956,4,4,0,596
0.55587,0.69571,4,4,0,597
0.47778,0.46877,4,4,0,598
0.44258,0.50996,4,4,0,599
0.89929,0.11383,4,4,0,600
0.89411,0.17524,4,4,0,601
0.71797,0.58165,4,4,0,602
0.84467,0.66746,4,4,0,603
0.67898,0.58975,4,4,0,604
0.36521,0.44510,0,4,0,605
0.74055,0.40229,4,4,0,606
0.89059,0.53266,4,4,0,607
0.56195,0.55035,4,4,0,608
0.61624,0.48307,4,4,0,609
0.45928,0.79134,4,4,0,610
0.48047,0.98505,6,4,0,611
0.85230,0.47668,4,4,0,612
0.67189,0.80238,4,4,0,613
0.50271,0.51913,4,4,0,614
0.55002,0.52541,4,4,0,615
0.71622,0.56348,4,4,0,616
0.40676,0.86372,4,4,0,617
0.13300,0.19736,4,4,0,618
0.78340,0.43663,4,4,0,619
0.19409,0.41416,6,2,0,620
0.82969,0.14897,4,4,0,621
0.58942,0.37817,4,4,0,622
0.87992,0.16004,4,4,0,623
0.33352,0.73004,2,2,0,624
0.87909,0.32709,4,4,0,625
0.62457,0.58761,4,4,0,626
0.97129,0.25722,4,4,0,627
0.17065,0.42034,2,2,0,628
0.93366,0.32869,4,4,0,629
0.11464,0.21060,2,6,0,630
0.62031,0.60029,4,4,0,631
0.77959,0.56117,4,4,0,632
0.59230,0.09043,4,4,0,633
0.84771,0.55290,4,4,0,634
0.91367,0.37298,4,4,0,635
0.59373,0.53881,4,4,0,636
0.07155,0.40312,2,1,0,637
0.33841,0.37488,1,0,0,638
0.71925,0.75334,4,4,0,639
0.89075,0.32241,4,4,0,640
0.67398,0.75735,6,4,0,641
0.36965,0.84130,4,4,0,642
0.90756,0.30818,4,4,0,643
0.71538,0.72966,4,4,0,644
0.90129,0.44596,4,4,0,645
0.81341,0.55905,4,4,0,646
0.92631,0.26081,4,4,0,647
0.52999,0.91028,4,4,0,648
0.43788,0.72825,6,4,0,649
0.11708,0.16791,4,4,0,650
0.19558,0.51961,3,4,0,651
0.68507,0.64213,4,4,0,652
0.47624,0.44006,4,4,0,653
0.39123,0.46264,4,4,0,654
0.56554,0.52320,4,4,0,655
0.73255,0.60315,4,4,0,656
0.72312,0.30433,4,2,0,657
0.76145,0.87590,4,4,0,658
0.72159,0.48957,4,4,0,659
0.19534,0.57931,1,4,0,660
0.09588,0.36897,2,2,0,661
0.80854,0.49341,4,4,0,662
0.91028,0.12190,4,4,0,663
0.98422,0.33233,4,4,0,664
0.37157,0.91408,4,4,0,665
0.48404,0.66898,4,4,0,666
0.47837,0.56308,4,4,0,667
0.53024,0.05589,4,4,0,668
0.91823,0.37015,4,4,0,669
0.95959,0.25484,4,4,0,670
0.66975,0.56452,4,4,0,671
0.15001,0.34943,2,4,0,672
0.70304,0.37926,4,4,0,673
0.96172,0.23593,4,4,0,674
0.55326,0.68991,4,4,0,675
0.19229,0.44347,0,1,0,676
0.40870,0.38775,2,4,0,677
0.93556,0.22718,4,4,0,678
0.62319,0.52639,4,4,0,679
0.85270,0.42443,4,4,0,680
0.87294,0.65610,4,4,0,681
0.25374,0.59941,4,4,0,682
0.90305,0.31720,4,4,0,683
0.73999,0.55918,4,4,0,684
0.38385,0.17479,6,2,0,685
0.96696,0.33519,4,4,0,686
0.80450,0.52367,4,4,0,687
0.57781,0.80699,4,4,0,688
0.77022,0.11947,4,4,0,689
0.83213,0.57049,4,4,0,690
0.65653,0.89881,4,4,0,691
0.38051,0.79060,2,4,0,692
0.72679,0.34587,4,4,0,693
0.87338,0.55225,4,4,0,694
0.52455,0.64121,4,4,0,695
0.83034,0.43594,4,4,0,696
0.97292,0.25146,4,4,0,697
0.73528,0.38543,4,4,0,698
0.47591,0.62945,4,4,0,699
0.30323,0.11058,0,6,1,0
0.39808,0.35343,6,0,1,1
0.18202,0.39028,1,2,1,2
0.14189,0.50759,2,0,1,3
0.25241,0.27192,6,2,1,4
0.09026,0.63460,2,1,1,5
0.28039,0.62319,4,5,1,6
0.51532,0.37009,2,3,1,7
0.40081,0.49740,2,3,1,8
0.36564,0.19981,6,6,1,9
0.23169,0.25602,2,6,1,10
0.25341,0.38666,6,2,1,11
0.16504,0.59086,1,2,1,12
0.55296,0.38250,4,2,1,13
0.07667,0.48444,2,2,1,14
0.16708,0.37565,1,2,1,15
0.23603,0.52998,0,1,1,16
0.33943,0.79753,6,2,1,17
0.55304,0.74452,5,5,1,18
0.27033,0.36878,0,6,1,19
0.43326,0.20671,2,6,1,20
0.37173,0.38837,0,2,1,21
0.10540,0.42361,2,0,1,22
0.30098,0.32853,1,2,1,23
0.50861,0.00000,6,0,1,24
0.45350,0.30403,6,6,1,25
0.18855,0.70230,5,5,1,26
0.16054,0.24721,6,1,1,27
0.33277,0.83955,4,1,1,28
0.14275,0.28360,6,2,1,29
0.23777,0.70588,1,2,1,30
0.52035,0.12937,4,6,1,31
0.22578,0.59428,1,1,1,32
0.26495,0.67485,1,1,1,33
0.33615,0.17821,6,2,1,34
0.27336,0.33224,3,2,1,35
0.24674,0.46768,0,2,1,36
0.42450,0.24741,6,6,1,37
0.15474,0.40189,0,2,1,38
0.28718,0.39428,0,1,1,39
0.35882,0.14189,6,6,1,40
0.14970,0.54818,2,0,1,41
0.06471,0.22517,2,6,1,42
0.60076,0.63218,4,3,1,43
0.35802,0.25100,0,6,1,44
0.40566,0.70237,6,3,1,45
0.53639,0.72569,5,5,1,46
0.06491,0.32589,4,2,1,47
0.23248,0.62980,5,1,1,48
0.39338,0.41870,0,2,1,49
0.38799,0.26216,2,2,1,50
0.47497,0.85887,6,2,1,51
0.04250,0.38867,0,2,1,52
0.45026,0.21626,2,6,1,53
0.20314,0.49533,2,5,1,54
0.62258,0.44249,4,2,1,55
0.22365,0.34406,0,6,1,56
0.57268,0.71906,4,5,1,57
0.05009,0.45248,2,2,1,58
0.15023,0.45845,2,0,1,59
0.12150,0.31182,6,2,1,60
0.21698,0.52636,3,1,1,61
0.16670,0.50839,1,0,1,62
0.26840,0.47178,3,2,1,63
0.44258,0.99158,6,6,1,64
0.46094,0.24683,4,2,1,65
0.41755,0.33525,2,6,1,66
0.11691,0.38076,2,6,1,67
0.11143,0.26556,4,2,1,68
0.09693,0.30611,6,2,1,69
0.26286,0.23399,1,6,1,70
0.59666,0.12592,2,2,1,71
0.29998,0.52785,1,3,1,72
0.09400,0.57583,6,0,1,73
0.53000,0.33620,4,2,1,74
